,color
HP:0003803,2
HP:0002483,7
HP:0000135,1
HP:0000426,3
HP:0000430,3
HP:0000506,3
HP:0000534,3
HP:0000633,11
HP:0001100,11
HP:0002216,9
HP:0002251,7
HP:0002595,17
HP:0004388,17
HP:0005599,9
HP:0004875,4
HP:0010548,2
HP:0011809,2
HP:0012892,3
HP:0012899,2
HP:0012900,2
HP:0012901,2
HP:0012903,2
HP:0012904,2
HP:0031372,2
HP:0008153,7
HP:0011042,13
HP:0000029,1
HP:0000818,21
HP:0002827,15
HP:0004299,6
HP:0006887,7
HP:0010935,1
HP:0011362,9
HP:0011705,5
HP:0100335,3
HP:0000337,3
HP:0000567,3
HP:0000609,11
HP:0001321,7
HP:0002063,7
HP:0002342,7
HP:0000491,11
HP:0001097,3
HP:0000492,3
HP:0000498,3
HP:0011457,3
HP:0011496,11
HP:0012375,3
HP:0000154,3
HP:0000322,3
HP:0000457,3
HP:0000568,3
HP:0000883,15
HP:0002866,15
HP:0005871,15
HP:0006028,15
HP:0008364,15
HP:0008905,15
HP:0000026,1
HP:0000047,1
HP:0000490,3
HP:0000709,7
HP:0000815,1
HP:0004209,15
HP:0001792,9
HP:0008187,21
HP:0008734,1
HP:0004440,3
HP:0011999,7
HP:0040171,21
HP:0100962,7
HP:0200055,15
HP:0000735,7
HP:0012646,1
HP:0000524,5
HP:0000873,21
HP:0001014,9
HP:0001653,5
HP:0001712,5
HP:0002321,22
HP:0002571,17
HP:0002823,15
HP:0003119,13
HP:0004306,5
HP:0006510,4
HP:0011710,5
HP:0001163,15
HP:0001786,24
HP:0002186,7
HP:0002308,7
HP:0009738,22
HP:0012742,9
HP:0000271,3
HP:0000327,3
HP:0000635,11
HP:0002197,7
HP:0002392,7
HP:0007000,7
HP:0000153,3
HP:0002121,7
HP:0002373,7
HP:0007207,7
HP:0000718,7
HP:0002133,7
HP:0000003,1
HP:0000077,1
HP:0000113,1
HP:0000501,11
HP:0000541,11
HP:0000572,11
HP:0001732,17
HP:0001737,17
HP:0002666,7
HP:0005306,5
HP:0005562,1
HP:0005584,1
HP:0009711,8
HP:0009715,1
HP:0100634,7
HP:0100659,7
HP:0100742,5
HP:0100761,5
HP:0100763,16
HP:0100799,22
HP:0000368,22
HP:0001080,17
HP:0001407,17
HP:0002612,17
HP:0100720,22
HP:0000054,1
HP:0000359,22
HP:0000396,22
HP:0000458,3
HP:0000612,3
HP:0001291,7
HP:0009906,22
HP:0011382,22
HP:0000008,1
HP:0000048,1
HP:0000066,1
HP:0000204,3
HP:0000275,3
HP:0000324,3
HP:0000453,3
HP:0000528,3
HP:0000722,7
HP:0001561,23
HP:0001636,5
HP:0001671,5
HP:0010751,3
HP:0011611,5
HP:0100736,3
HP:0000076,1
HP:0000126,1
HP:0000384,3
HP:0000625,3
HP:0000632,11
HP:0000772,15
HP:0000834,21
HP:0001156,15
HP:0001305,3
HP:0001360,7
HP:0001883,24
HP:0002553,3
HP:0002937,15
HP:0002992,15
HP:0004348,15
HP:0010443,15
HP:0010669,3
HP:0001065,9
HP:0001166,15
HP:0001519,0
HP:0001533,0
HP:0002108,4
HP:0004970,5
HP:0012432,7
HP:0000678,3
HP:0001083,11
HP:0001132,11
HP:0001382,15
HP:0001634,5
HP:0003179,15
HP:0005059,15
HP:0007800,3
HP:0012019,11
HP:0012369,3
HP:0100775,7
HP:0000494,3
HP:0002105,4
HP:0002435,7
HP:0002636,5
HP:0002996,15
HP:0003302,15
HP:0004382,15
HP:0004927,5
HP:0004933,5
HP:0006687,5
HP:0007676,11
HP:0007720,11
HP:0012499,5
HP:0007354,7
HP:0002180,7
HP:0007373,7
HP:0002795,4
HP:0002878,4
HP:0003394,2
HP:0003470,7
HP:0012531,7
HP:0030192,7
HP:0030195,7
HP:0030196,7
HP:0000713,7
HP:0025425,4
HP:0000035,1
HP:0000147,1
HP:0001888,10
HP:0002715,16
HP:0003220,13
HP:0005374,16
HP:0007495,9
HP:0007565,9
HP:0008065,9
HP:0010515,21
HP:0003003,8
HP:0004394,8
HP:0004783,8
HP:0005227,8
HP:0007400,9
HP:0010614,8
HP:0011068,3
HP:0011069,3
HP:0100006,7
HP:0100242,8
HP:0000726,7
HP:0001608,12
HP:0000144,1
HP:0000194,3
HP:0000235,3
HP:0000405,22
HP:0000582,3
HP:0001006,9
HP:0001852,15
HP:0002023,17
HP:0002714,3
HP:0006733,10
HP:0007328,7
HP:0007598,9
HP:0010808,3
HP:0100830,22
HP:0001259,7
HP:0003011,2
HP:0000311,3
HP:0001798,9
HP:0007973,11
HP:0000455,3
HP:0003042,15
HP:0003071,15
HP:0011849,15
HP:0000130,1
HP:0000385,22
HP:0000627,11
HP:0000682,6
HP:0000778,21
HP:0001136,3
HP:0001281,2
HP:0001641,5
HP:0000089,1
HP:0000262,3
HP:0000276,3
HP:0000414,3
HP:0000600,3
HP:0000979,9
HP:0001051,9
HP:0001161,15
HP:0001611,12
HP:0001629,5
HP:0001660,5
HP:0001829,15
HP:0001872,10
HP:0002099,4
HP:0002139,7
